	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
158	It was discovered from the images taken by Voyager 2 on January 20, 1986 and was given the temporary designation S / 1986 U 8.	It was detected from the photos taken by	The polymer is most often gum, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.	The polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.	2	QQ_c-1337-s-t4-1337_s-t4-254-c-254--1	5	simplicity
159	"In Smithson's will, he stated that should his nephew, Henry James Hungerford, die without heirs, the Smithson estate would go to the government of the United States for creating an ""Establishment for the increase & diffusion of Knowledge among men""."	"In Smithson's will, he stated that should his nephew, Henry James Hungerford, die without heirs, the Smithson estate would go to the government of the United States for creating an ""Establishment for the increase & distribution of knowledge among men""."	The name survives as a brand for related spin-off digital television channel, digital radio station and website which has survived the demise of the printed magazine.	The name survives as a brand for a related spin-off digital television channel, digital radio station, and website which have survived the demise of the printed magazine.	2	QQ_c-1340-s-t0-1340_s-t0-255-c-255--1	3	simplicity
160	Champion Rob Van Dam was defending his WWE title against Edge in the other singles featured match.	The other featured match was between WWE Champion Rob Van Dam defending the title against Edge in a singles match.	Some of the Actors were Waheed Murad, Shamim Ara, Deeba, Ibrahim Nafees and Talish.	Casting included Waheed Murad, Shamim Ara, Deeba, Ibrahim Nafees and Talish.	1	QQ_s-t2-1348-c-1348_s-t2-1636-c-1636--0	3	simplicity
161	Chianti Superiore is an Italian DOCG wine. from the areas of Arezzo, Florence Pisa, Pistoia, Prato and Siena, in Tuscany.	Chianti Superiore Chianti Superiore is an Italian DOCG wine produced in the provinces of Arezzo, Florence, Pisa, Pistoia, Prato and Siena, in Tuscany.	Characteristics Radar observations mentioned a fairly pure iron-nickel composition	Characteristics Radar observations indicate a fairly pure iron-nickel composition.	1	QQ_s-t1-1363-c-1363_s-t1-216-c-216--0	4	simplicity
162	Bollywood plots have tended to be melodramatic.	Bollywood plots are usually melodramatic.	In widely listen music, a side project is a when a person is already doing something, but wants to something else on the side.	In popular music, a side project is a project undertaken by one or more persons already known for their involvement in another band.	2	QQ_c-1365-s-t1-1365_s-t1-1779-c-1779--1	3	simplicity
163	The author of The Prince, Niccolò Machiavelli, witnessed and wrote about the execution.	Niccolò Machiavelli, author of The Prince, also witnessed and wrote about the execution.	Obsidian is used in cardiac surgery, as constructed blades are sharper and more precise than even the highest quality steel surgical scalpels.	Obsidian has been used in cardiac surgery, as well-crafted obsidian blades have a cutting edge many times sharper than high-quality steel surgical scalpels, with the edge of the blade being only about 3 nanometres wide.	1	QQ_s-t5-1367-c-1367_s-t5-609-c-609--0	4	simplicity
164	Before the outbreak's end, Andover, Kansas, would record the year's only F5 tornado (see Andover, Kansas Tornado Outbreak).	Before the end of outbreak, Andover Kansas recorded that year's only F5 tornado (see Andover, Kansas Tornado outbreak)	The conflicts between European and Chinese mine workers broke out into quarrels at Daylesford and Castlemaine.	Disputes between European and Chinese miners flared into brawls at Daylesford and Castlemaine.	2	QQ_c-1389-s-t5-1389_s-t5-438-c-438--1	3	simplicity
165	There are fewer Western expatriates than in the larger centers of Abu Dhabi and Dubai.	There are less Western expatriates than in the larger centers of Abu Dhabi and Dubai.	The population of this ward in 2001 was 16,800 people in 5,700 households.	The number of people in this ward in 2001 was 16,800 people in 5,700 houses.	1	QQ_c-1404-s-t7-1404_c-1174-s-t7-1174--0	4	simplicity
166	Lulusar lake marks the begining of the river, nearly forty-eight miles from Naran Valley.	The river originates from Lulusar lake, nearly 48km from Naran Valley.	Upon becoming a tropical cyclone, the depression maintained multiple cloud swirls within a common center.	Upon becoming a tropical cyclone, the depression always has multiple cloud swirls within a common center.	2	QQ_s-t0-1437-c-1437_c-720-s-t0-720--1	3	simplicity
167	Launched in 1994, InStyle currently has a circulation of 1.7 million.	Since 1994, InStyle has a circulation of 1.7 million.	Victoria Island (or Kitlineq) is an island in the Canadian Arctic Archipelago and straddles the boundary between Nunavut and the Northwest Territories of Canada.	Victoria Island (or Kitlineq) is an island in the Canadian Arctic Chain of islands and straddles the edge or border between Nunavut and the Northwest Areas of land of Canada.	1	QQ_c-1453-s-t5-1453_c-2035-s-t5-2035--0	3	simplicity
168	Islam emphasizes unity and defense of fellow Muslims, although many divisions of Islam exist.	Islam emphasizes unity and defense of fellow Muslims, although many divisions of Islam (see Sunni-Shia relations, for example) exist.	During the early 1960s, Love first crossed paths with Jim Henson through Don Sahlin, who urged him to meet with Henson.	During the early 1960s, Love first met Jim Henson through Don Sahlin, who pushed him to meet with Henson.	2	QQ_s-t2-1477-c-1477_c-2311-s-t2-2311--1	4	simplicity
169	Free Lossless Audio Codec (FLAC) is a file format for lossless audio data compression.	1. Free Lossless Audio Codec (FLAC) is a file format for audio data compression without loss of data.	It was expelled on January 21, 2003 and garnered DVDX awards for best animated feature, best manager, best editing, and best musical score.	It was released on January 21, 2003 and garnered DVDX awards for best animated feature, best director, best editing, and best musical score.	2	QQ_c-1484-s-t4-1484_s-t4-2269-c-2269--1	4	simplicity
170	Many of the municipalities in the area receive their drinking water directly from Vättern.	Many of the cities in the area get their drinking water directly from Vättern.	In the 1920s and early 1930s, he often worked with the London Symphony Orchestra.	In the 1920s and early 1930s he frequently worked with the London Symphony Orchestra.	2	QQ_c-1486-s-t6-1486_s-t6-2152-c-2152--1	3	simplicity
171	One of the world's great fossil discoveries was found at the Fossils Canowindra site.	Fossils Canowindra is the site of one of the world's great fossil discoveries.	The body color varies from medium brown to gold-ish to beige-white; and occasionally, is marked with dark brown spots, especially on the limbs.	The body color differs from medium brown to gold-ish to beige-white; and sometimes, is marked with dark brown spots, especially on the arms and legs.	2	QQ_s-t6-1508-c-1508_c-302-s-t6-302--1	4	simplicity
172	Bisexual pornography is different from threesome pornography which usually shows one man with two women.	Bisexual pornography differs from threesome pornography, which typically depicts one man and two women.	Types of abrasions Colloquially, abrasions caused by contact with textiles or carpeting are referred to as rug burn or carpet burn.	Types of abrasions  Informally, cuts from touching fabrics or carpeting are called rug burn or carpet burn.	2	QQ_s-t1-1596-c-1596_c-973-s-t1-973--1	4	simplicity
173	He was unusually active campaigner and critic in the changing years in Italy after the First World War and in the early years of Fascist rule.	He was an exceptionally active campaigner and critic in the crisis years in Italy after the First World War and into the early years of Fascist rule.	It is found mainly in Papua New Guinea at heights between 2000 and 3000 meters.	It is found mainly in Papua New Guinea at elevations between 2000 and 3000 meters.	1	QQ_s-t4-1598-c-1598_s-t4-583-c-583--0	5	simplicity
174	It has a stopper at the top and stopcock (tap), at the bottom.	It has a stopper at the top and stopcock at the bottom.	It is currently used mostly for football matches and is the home of Santos Football Club.	It is now used mostly for football matches and is the home of the Santos Football Club.	1	QQ_c-1605-s-t7-1605_c-2104-s-t7-2104--0	3	simplicity
175	Topics such as sanctity of marriage, adultery, alcoholism, prostitution, and religions are woven throughout the album.	The album includes topics such as the holiness of marriage, sex outside of marriage, alcoholism, prostitution, and religions.	Late in 2004 Suleman was noticed for cutting Howard Stern's radio show from four stations since Stern brought up his move to Sirius Satellite Radio.	In late 2004, Suleman made headlines by cutting Howard Stern's radio show from four Citadel stations, citing Stern's frequent discussions regarding his upcoming move to Sirius Satellite Radio.	2	QQ_c-1621-s-t5-1621_s-t5-203-c-203--1	4	simplicity
176	As the new time period started, Stallone starred in the thriller movie Get Carter — a remake of the 1971 British Michael Caine movie of the same name — but the film was thought to be bad by critics and audiences.	As the new millennium began, Stallone starred in the thriller Get Carter — a remake of the 1971 British Michael Caine film of the same name — but the film was poorly received by both critics and audiences.	This quantitative measure indicates how much of a particular drug or other substance (inhibitor) is needed to inhibit a given biological process (or component of a process, i.e. an enzyme, cell, cell receptor or microorganism) by half.	This quantitative measure indicates how much of a drug or other substance is needed to inhibit a biological process by half.	2	QQ_s-t3-1628-c-1628_c-353-s-t3-353--1	3	simplicity
177	It was discovered in 1949 by Walter Baade.	Walter Baade discovered it in 1949.	Keymer was a very old parish that like its near neighbour Clayton was put together with  the modern day parish of Hassocks.	Keymer was an ancient parish that like its near neighbour Clayton was merged into the modern day parish of Hassocks.	2	QQ_c-1647-s-t4-1647_s-t4-1345-c-1345--1	4	simplicity
178	A medium amount of flooding was reported in Acapulco, causing mudslides in some areas.	Moderate flooding was reported in Acapulco, resulting in mudslides in some areas.	The most common form of language reform is simplification.	Simplification By far the most common form of language reform, simplification involves spelling simplification (cf.	1	QQ_s-t0-1735-c-1735_s-t0-1989-c-1989--0	3	simplicity
179	Armageddon was a professional wrestling pay-per-view event produced by the World Wrestling Entertainment promotion taken place on December 14 2008.	Armageddon (2008) was a professional wrestling pay-per-view (PPV) event produced by the World Wrestling Entertainment (WWE) promotion, which took place on December 14, 2008 at the HSBC Arena in Buffalo, New York.	While not lethal, consuming this mushroom leads to very severe cramps.	While not lethal, consuming this mushroom leads to very severe cramps, vomiting, and diarrhea.	1	QQ_s-t2-1739-c-1739_s-t2-2279-c-2279--0	5	simplicity
180	Ther is no consensus among scholars.	In the list below, works by Plato are marked (1) if there is no consensus among scholars as to whether Plato is the author, and (2) if scholars generally agree that Plato is not the author of the work.	A cocktail is a mixed drink.	A cocktail is a style of mixed drink.	1	QQ_s-t6-1742-c-1742_s-t6-1901-c-1901--0	5	simplicity
181	The film has a 37% rating on Rotten Tomatoes based on 103 reviews.	"Rotten Tomatoes reported that the film has a ""Rotten"" rating of 37 %, based on 103 reviews."	"On the final album of the Scandinavian vocal music series, Pohjola produced ""Leivonen lumimyrskyssä (A Lark in a Snowstorm)"" as a tribute to the legendary Finnish tango composer Toivo Kärki."	As the last album of the Scandinavian vocal music series, Pohjola produced a tribute to the Finnish legendary tango composer, Toivo Kärki on the album, Leivonen lumimyrskyssä (A Lark in a Snowstorm) (2006).	1	QQ_s-t1-1744-c-1744_s-t1-2305-c-2305--0	4	simplicity
182	Between 1911 and 1913, he was employed by his uncle in the office of the Branch coalmines in West Virginia.	Between 1911 and 1913, he worked for his uncle in the office of the Branch coalmines in West Virginia.	Small planet classifications are number-name combinations supervised by the Minor Planet Center, a branch of the IAU.	Formal minor planet designations are number-name combinations overseen by the Minor Planet Center, a branch of the IAU.	2	QQ_c-1770-s-t6-1770_s-t6-44-c-44--1	5	simplicity
183	Current stations Most stations are named for the nearest major road crossed by the line in question.	Current stations Most stations are given name of  the nearest major road crossed by the line in question.	"In his book ""Russia at War 1941 to 1945"", Alexander Werth reported that while visiting Gdansk / Danzig in 1945 shortly after its liberation by the Red Army, he saw an experimental factory outside the city for making soap from human corpses."	"In his book ""Russia at War 1941 to 1945 "", Alexander Wereh reported that while visiting Gdansk / Danzig in 1945 shortly after its freeing/freedom by the Red Army, he saw an experimental factory outside the city for making soap from human dead bodies."	1	QQ_c-1838-s-t5-1838_c-2087-s-t5-2087--0	3	simplicity
184	On September 20 oil prices reached a record rate of over $ 84 per barrel, after days of speculation, stemming from the halt of 27.7% daily crude oilproduction due to depression.	With 27.7 % of the daily crude oil production halted due to the depression, oil prices rose further after days of increasing levels, and on September 20 reached a record rate of over $ 84 per barrel.	Therefore, beliefs are not totally consistent from one Baptist church to another, especially beliefs that may be considered minor.	Therefore, beliefs are not the same from one Baptist church to another, especially beliefs that may be considered minor.	2	QQ_s-t4-1855-c-1855_c-1212-s-t4-1212--1	4	simplicity
185	Direct mechanical power transmission required that industries using hydropower had to locate near the waterfall.	Industries located near the waterfall so the hydropower could be transmitted easily to them.	In 1990, Mark Messier won the Hart trophy, beating Ray Bourque by two votes overall and by just one first-place vote.	In 1990, Mark Messier took the Hart over Ray Bourque by a margin of two votes, the difference being a single first-place vote.	2	QQ_c-1870-s-t6-1870_s-t6-117-c-117--1	3	simplicity
186	Punk rock has distinguished itself from other non-mainstream genres by self-asserting an active anti-mainstream social movement that resists commercialism and corporate control.	Punk rock is different from other kinds of unusual music because its fans do not want it to be owned and run by big companies, or to be about advertising itself or making lots of money.	The little book was widely read, especially at Paray.	The little book was read a lot, especially at Paray.	1	QQ_c-1927-s-t1-1927_c-1500-s-t1-1500--0	5	simplicity
187	Tip opening is the distance between mouthpiece tip and reed tip.	The distance between the tip of the mouthpiece and the tip of the reed is known as the tip opening.	The settlements include Pont-Bellanger and Beaumesnil.	Other nearby settlements include Pont-Bellanger and Beaumesnil.	1	QQ_s-t3-1963-c-1963_s-t3-248-c-248--0	3	simplicity
188	Du Pré performed with the most prestigious orchestras and conductors, including the Berlin Philharmonic Orchestra, London Symphony, London Philharmonic, New Philharmonia Orchestra, BBC Symphony Orchestra, New York Philharmonic, Philadelphia Orchestra, Israel Philharmonic, and the Los Angeles Philharmonic Orchestra.	De Pré performed with Philadelphia Orchestra, Israel Philharmonic and many other prestigious orchestras and conductors.	They can also be used as a general test tube substitute particularly when a larger volume is desired.	They can also be used as a general stand in for a regular test tube, particularly when a larger amount is wanted.	1	QQ_c-1986-s-t6-1986_c-482-s-t6-482--0	4	simplicity
189	They often simply groan in disapproval in situations where a human toddler would throw a tantrum.	They simply groan in disapproval in situations where a human toddler throw a tantrum.	A gas station, fueling station, filling station, service station, petrol station, garage, gasbar, petrol pump or petrol bunk (India) is a facility which sells fuel and lubricants for motor vehicles.	A gas station, fueling station, filling station, service station, petrol station, garage, gasbar, petrol pump or petrol bunk (India) is a place which sells fuel and lubricants for motor vehicles.	1	QQ_c-2024-s-t3-2024_c-1290-s-t3-1290--0	4	simplicity
190	In 1934, Dupré succeeded Charles-Marie Widor as titular organist at St. Sulpice in Paris, a post he held until his death in 1971.	In 1934, Dupre succeeded Charles-Marie Widor as titular organist at St. Sulpice in Paris, and held the post till his death in 1971.	Muslims performing i'tikaf are required to stay within the mosque for ten consecutive days, often in worship or learning about Islam.	Muslims performing i'tikaf have to stay in the mosque for ten straight days, often in worship or learning about Islam.	1	QQ_c-2027-s-t2-2027_c-1482-s-t2-1482--0	4	simplicity
191	The term Dakshinachara (Right-Hand Path) is used to refer to Tantric sects that do not engage in these heterodox practices.	The term Dakshinachara (Right-Hand Path) is used to refer to Tantric religious groups that do not start/work at these heterodox practices.	Spider Kiss (originally entitled Rockabilly) is a 1961 novel by author Harlan Ellison.	Spider Kiss (original title Rockabilly) is a 1961 book by author Harlan Ellison.	1	QQ_c-2066-s-t6-2066_c-1645-s-t6-1645--0	4	simplicity
192	ISO 3166-1 is part of the ISO 3166 standard published by the International Organization for Standardization (ISO), and defines codes for the names of countries, dependent territories, and special areas of geographical interest.	ISO 3166-1 is part of the the ISO standard published by the ISO and defines codes for the names of countries, dependent territories, and special areas of geographic interest.	However, the Lake Trio come back to nullify the legendary's power and break the Red Chain, interrupting the ritual.	However, the Lake Trio come back to end the legendary's power and break the Red Chain, stopping the ritual.	1	QQ_c-2091-s-t1-2091_c-1208-s-t1-1208--0	4	simplicity
193	This is probably one of the sources of Sarasvati / Benzaiten's close association with snakes and dragons in Japan.	This is likely one of the starting points of Sarasvati / Benzaiten's close ties with snakes and dragons in Japan.	At Saturday Night's Batista won match with Rey Mysterio and Bobby Lashley taking on King Booker, Finlay, and Mark Henry.	At Saturday Night's Main Event, Batista won a six man tag match with Rey Mysterio and Bobby Lashley taking on King Booker, Finlay, and Mark Henry.	2	QQ_c-2114-s-t5-2114_s-t5-1582-c-1582--1	3	simplicity
194	The VC was introduced on 29 January 1856 by Queen Victoria to reward acts of valour during the Crimean War.	Queen Victoria started the VC on 29 January 1856 to reward brave actions during the Crimean War.	Wilson settled in the district in late 1836 with his wife and family.	Wilson made a home in the district in late 1836 with his wife and family.	1	QQ_c-2137-s-t1-2137_c-1324-s-t1-1324--0	3	simplicity
195	She is an acclaimed interpreter of the works of Mozart, Beethoven, Schubert, Chopin, Debussy and Schoenberg.	She is a praised interpreter of the works of Mozart, Beethoven ,Schubert ,Chopin ,Debussy and Schoenberg.	More Groundwater story stories are being brought to the stage.	Another of Groundwater's short stories has been adapted into a live theater performance.	2	QQ_c-2150-s-t6-2150_s-t6-2219-c-2219--1	4	simplicity
196	When no one showed any interest, Cave took on the task by himself.	Since no one else showed interest,Cave started the task himself.	The word is derived from' pahar' meaning mountain.	The word comes from' pahar' meaning mountain.	1	QQ_c-2163-s-t5-2163_c-1781-s-t5-1781--0	4	simplicity
197	It is a stolen street sign.	It is a commonly stolen street sign.	A fortress on the eastern paths was built afterwards.	A bastion on the eastern approaches was built later.	1	QQ_s-t1-2200-c-2200_s-t1-259-c-259--0	4	simplicity
198	Another of Groundwater's short stories has been made into a live theater performance.	Another of Groundwater's short stories has been adapted into a live theater performance.	He last skated with the show in 2007.	He skated his last with the show in 2007.	1	QQ_s-t2-2219-c-2219_s-t2-2176-c-2176--0	3	simplicity
199	Several marsupial herbivores, such as kolasa and a few possums, tolerate it.	Several marsupial herbivores, notably koalas and some possums, are relatively tolerant of it.	"The Old Testament's examples of killings sanctioned by God are often cited in defense of the view that ""murder"" is a more accurate translation."	"1. The Old Testament's examples of killings approved by God are commonly cited in defense of the view that ""murder"" is a better translation."	2	QQ_s-t1-2253-c-2253_c-687-s-t1-687--1	4	simplicity
200	The first group saw the large effect in multilayers that led to its naming, and first correctly explained the underlying physics.	The Fert group first saw the large effect in multilayers that led to its naming, and first correctly explained the underlying physics.	Economy The only economic activity of importance is agriculture.	Agriculture is responsible for the economic status of the area.	2	QQ_s-t6-2263-c-2263_c-1586-s-t6-1586--1	3	simplicity
201	Robert Leroy Johnson was one of the most famous Delta blues musicians in America.	Robert Leroy Johnson (May 8, 1911 – August 16, 1938) was an American blues musician, among the most famous of Delta blues musicians.	Stone Cold dragged a referee into the ring but kicked Kurt Angle in the face, him him with a Stunner and placed Booker T on top of Kurt and told the referee to count.	Stone Cold then dragged a referee into the ring, but in a swerve, kicked Kurt Angle in the face, hit him with a Stunner, and placed Booker T on top of Kurt Angle and told the referee to count.	1	QQ_s-t5-2297-c-2297_s-t5-521-c-521--0	4	simplicity
202	The International Union for Conservation of Nature and Natural Resources (IUCN) is an international organization dedicated to natural resource conservation.	The International Union for Conservation of Nature and Natural Resources (IUCN) is an international group that helps protect natural resources	In the past, mills were powered by hand (mortar and pestle), working animal, wind (windmill) or water (watermill).	Historically mills were powered by hand (mortar and pestle), working animal, wind (windmill) or water (watermill).	2	QQ_c-2314-s-t1-2314_s-t1-762-c-762--1	4	simplicity
203	The museum, Pearson Field, and the Fort Vancouver National Historic Site are part of the Vancouver National Historic Reserve.	The museum and Pearson Field, along with the Fort Vancouver National Historic Site, are part of the Vancouver National Historic Reserve.	However, Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time.	Twofish is used les than Blowfish, which is older.	2	QQ_s-t0-2330-c-2330_c-758-s-t0-758--1	4	simplicity
204	The name Glinde was first mentioned in a document dated March 25, 1229	History The name Glinde was first mentioned in a document dated from March 25 1229.	This mean it has four equal sides and four ninety degree, right angles.	This means that it has four equal sides and four equal angles (90 degree angles, or right angles).	1	QQ_s-t0-2346-c-2346_s-t0-1282-c-1282--0	3	simplicity
205	They are culturally similar to the peoples living near sea of Papua New Guinea.	They are culturally akin to the coastal peoples of Papua New Guinea.	It comprises the eastern half of the island of Timor, the nearby islands of Atauro and Jaco, and Oecussi-Ambeno, an exclave on the northwestern side of the island, within Indonesian West Timor.	It is made up of the eastern half of the island of Timor, the islands of Atauro and Jaco, and Oecussi-Amben, a small area within Indonesian West Timor.	2	QQ_s-t5-6-c-6_c-585-s-t5-585--1	4	simplicity
206	It was originally thought that the debris thrown up by the collision filled in the smaller craters.	It was thought that the debris thrown up by the collision filled the smaller craters.	It has been suggested that Vättern is the largest body of potable water in the world.	It has been suggested that Vättern is the largest body of drinkable water in the world.	1	QQ_c-11-s-t6-11_c-1377-s-t6-1377--0	3	simplicity
207	However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.	However the BZÖ is a little different from the Freedom Party. They are in favor of a referendum about the Lisbon Treaty but are against an EU-Withdrawal.	Yoghurt or yogurt is a dairy product produced by bacterial fermentation of milk.	Yoghurt or yogurt is a dairy product that is made by bacterial fermentation of milk.	1	QQ_c-13-s-t2-13_c-198-s-t2-198--0	3	simplicity
208	In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.	In 1987, Wexler became a member of the Rock and Roll Hall of Fame.	References External attaches Mariano José de Larra in the Biblioteca Virtual Miguel de Cervantes.	References External links Mariano José de Larra in the Biblioteca Virtual Miguel de Cervantes.	2	QQ_c-15-s-t5-15_s-t5-1698-c-1698--1	3	simplicity
209	Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.	Perry Saturn with Terry won against Eddie Guerrero who was with Chyna and won the WWF European Championship at 8:10. Saturn's victory was through a Diving elbow drop at Guerrero and pinned him.	Under the ring name Test, Martin wrestled for World Wrestling Federation (later World Wrestling Entertainment) from 1998 – 2004, and 2006 – 2007.	Under the ring name Test, Martin fought for World Wrestling Federation (later World Wrestling Entertainment) from 1998 – 2004, and 2006 – 2007.	1	QQ_c-27-s-t7-27_c-1984-s-t7-1984--0	3	simplicity
210	The fantasy novel Mariel of Redwall by Brian Jacques was put up for sale in 1991.	Mariel of Redwall is a fantasy novel by Brian Jacques, published in 1991.	Of the seven candidates, he topped each of the four straw polls conducted by the United Nations Security Council: on 24 July, 14 September, 28 September, and 2 October.	Of the seven candidates he topped each of the four straw polls conducted by the UN Security Council on July24, September14 and28th and October 2.	2	QQ_s-t7-48-c-48_c-2146-s-t7-2146--1	4	simplicity
211	Giardia lamblia (equivalent with Lamblia intestinalis and Giardia duodenalis) is a scourged diverse group of eukryotes host that settles and duplicates in the small intestine, causing an intestinal dissorder.	Giardia lamblia (synonymous with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.	The Odyssey is an ancient Greek epic poem attributed to Homer.	The Odyssey is an old Greek epic poem written by Homer.	2	QQ_s-t3-54-c-54_c-2207-s-t3-2207--1	3	simplicity
212	The then 10 year-old child actress, Shirley Temple, gave Disney a full-size Oscar statue and seven miniature ones.	Disney received a full-size Oscar statuette and seven miniature ones, presented to him by 10-year-old child actress Shirley Temple.	Conjunction is a term used in positional astronomy and astrology.	Conjunction is a term used in positional astronomy and astrology to describe the orb of planets.	2	QQ_s-t5-68-c-68_c-1703-s-t5-1703--1	4	simplicity
213	Hinterrhein is an administrative district in the canton of Graubünden, Switzerland.	Hinterrhein is an administrative district in the canton of Graubunden in Switzerland.	Santa Maria Maggiore, known as St. Mary the Greater, is the earliiest church in Assisi still in existance.	Santa Maria Maggiore (St. Mary the Greater), the earliest extant church in Assisi.	2	QQ_c-70-s-t1-70_s-t1-215-c-215--1	3	simplicity
214	The consumer gets confused when 220 bytes is called 1 MB, instead of 1MiB.	This leads to consumer confusion when 220 (1,048,576) bytes is referenced as 1 MB (megabyte) instead of 1 MiB.	A majority of South Indians speak one of the five Dravidian languages — Kannada, Malayalam, Tamil, Telugu and Tulu.	Most South Indians speak one of the five Dravidian languages— Kannada, Malayalam, Tamil, Telugu and Tulu.	2	QQ_s-t0-72-c-72_c-335-s-t0-335--1	4	simplicity
215	Comparisons conducted by PassMark Software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 MB memory utilization.	Benchmarking conducted by PassMark Software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 MB memory utilization.	While it is a self-contained story, the book continues and develops many of the themes touched on in the first book.	While it is a stand-alone story, the book continues many themes visited in the first book.	2	QQ_s-t2-76-c-76_c-837-s-t2-837--1	4	simplicity
216	Feelings of itch and pain have not been thought to be completely seperate from each other. It was recently found that itch has more than one part in common with pain, even though it feels very different.	Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.	History The district was made in 1994 by putting the two previous districts Marienberg and Zschopau together.	History The district was formed in 1994 by merging the two previous districts Marienberg and Zschopau.	1	QQ_s-t1-78-c-78_s-t1-1496-c-1496--0	4	simplicity
217	The equilibrium price for a certain type of labor is the wage.	The fair price for a specific type of work is the salary that is paid.	The vagina is remarkably elastic and stretches to many times its normal diameter during vaginal birth.	The vagina is elastic and stretches to many times during its diameter at vaginal birth.	1	QQ_c-104-s-t1-104_c-351-s-t1-351--0	5	simplicity
218	In 1998 Culver was elected Iowa Secretary of State.	In 1998, Culver ran for Iowa Secretary of State and was victorious.	Samovar & Porter (1994), p. 84 Syrians did not meet in urban enclaves; many of the immigrants who had worked as street vendors were able to talk with Americans on a daily basis.	Samovar & Porter (1994), p. 84 Syrians did not congregate in urban enclaves; many of the immigrants who had worked as peddlers were able to interact with Americans on a daily basis.	1	QQ_s-t7-116-c-116_s-t7-224-c-224--0	4	simplicity
219	Unlike the clouds on Earth, however, which are composed of crystals of ice, Neptune's cirrus clouds are made up of crystals of frozen methane.	Unlike Earth's clouds which are composed of ice crystals, Neptune's cirrus clouds are made of of frozen methane crystals.	The police came to recapture her after she escaped with Alwa.	She escapes with Alwa just before the police arrive to recapture her.	2	QQ_c-132-s-t4-132_s-t4-1952-c-1952--1	5	simplicity
220	Chauvin was embarrassed to receive his award and indicated that he might not accept it.	Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.	Coconuts from different  parts of the world also differ in taste.	Coconuts from various parts of the world also differ in taste.	1	QQ_s-t4-146-c-146_s-t4-1066-c-1066--0	3	simplicity
221	Later, Esperanto speakers began to see the language and the culture that had grown up around it as ends in themselves, even if Esperanto is never adopted by the United Nations or other international organizations.	Even if Esperanto is never adopted by the any international organizations, including the United Nations, their speakers are beginning to see the language and culture grow.	A fee as remuneration for services, especially the paid to a doctor, lawyer, consultant, or other member of a learned profession.	A fee is the price one pays as remuneration for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of a learned profession.	2	QQ_c-147-s-t3-147_s-t3-297-c-297--1	5	simplicity
222	Calvin Baker is an American novelist.	Calvin Baker is an American story writer.	In February 1942, he was hospitalized, later claiming that this was due to a nervous breakdown connected with the ethnic cleansing in Belarus, especially the genocide of the Jews.	In February 1942, he was hospitalized, declaring later that this was due to mental imbalance caused by race massacre in Belarus, especially the mass murder of the Jews.	1	QQ_c-149-s-t1-149_c-522-s-t1-522--0	3	simplicity
223	He came from a musical family; his mother, LaRue, was an administrative assistant and singer, and his father, Keith Brion, was a band director at Yale.	His was a musical family, as his mother, LaRue, was a secretary and singer, while his father, Keith Brion, was a band director at Yale.	The shared secret is either shared beforehand between the communicating parties, in which case it can also be called a pre-shared key.	A pre-shared key is a shared secret which is shared beforehand between the communicating parties.	1	QQ_c-159-s-t0-159_c-1894-s-t0-1894--0	3	simplicity
224	MacGruber starts asking for simple objects to make something to set off the bomb, but he is later distracted by something usually involving his personal life) that makes him run out of time.	MacGruber starts asking for simple objects to make something to defuse the bomb, but he is later distracted by something (usually involving his personal life) that makes him run out of time.	Around 1125, her father died and she succeeded as Countess of Boulogne.	Around 1125, her father died and she took his place as Countess of Boulogne.	2	QQ_s-t3-171-c-171_c-1700-s-t3-1700--1	4	simplicity
225	The PAD called for the resignation of governments of Thaksin Shinawatra, Samak Sundaravej, and Somchai Wongsawat, whom the PAD said were proxies for Thaksin.	The PAD called for the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej and Somchai Wongsawat, whom the PAD accused of being proxies for Thaksin.	The adoption success rate was great.	The adoption success rate was outstanding.	1	QQ_s-t5-174-c-174_s-t5-987-c-987--0	3	simplicity
